feature	衣原体纲..Chlamydiia.	芽孢杆菌纲..Bacilli.	γ.变形菌纲..Gammaproteobacteria.	梭菌纲..Clostridia.	拟杆菌纲..Bacteroidia.	柔膜菌纲..Mollicutes.	放线菌纲..Actinomycetia.	黄杆菌纲..Flavobacteriia.	α.变形菌纲..Alphaproteobacteria.	β.变形菌纲..Betaproteobacteria.	丹毒丝菌纲..Erysipelotrichia.	ε.变形菌纲..Epsilonproteobacteria.	Negativicutes纲	δ.变形菌纲..Deltaproteobacteria.	真细菌纲..Eubacteriia.
MI35	715788	117785	217117	196177	44216	66280	25124	6693	15228	1755	8311	8610	239	1847	12449
MI33	478116	94714	163768	79202	34328	61408	38813	2370	12970	4974	6733	11137	1	153	9588
MI32	295823	66922	200681	88113	41349	28777	8068	4810	11130	1088	1407	2973	208	89	25450
MI38	190904	43766	82688	74901	68002	21704	27985	935	5279	1621	2053	6463	12	6079	3307
MI36	340754	42597	184423	64209	203498	39665	6497	3224	5286	3364	1541	4601	14	291	2438
MI34	307961	190124	190687	65532	22033	33839	3189	2980	9074	426	6	549	19	0	16887
MI37	467336	136789	156385	85869	24533	42865	17486	563	24593	8430	5764	1171	8	754	3515
MI27	278196	48648	118124	62650	97803	22671	38568	2495	12825	592	1895	1165	0	1700	7547
MI28	505374	133015	246247	113038	36432	65510	7620	4117	18762	2201	6339	4747	0	156	30304
MI29	289031	45176	101356	64231	12624	74503	4962	1733	8578	1179	783	3499	105	406	15623
MI31	446115	88336	201995	87994	30289	73448	33387	1986	23296	1308	925	2266	0	272	20528
MI17	502005	42785	136663	111806	29838	10259	4680	76	977	1139	9	943	478	4	56044
MI21	784749	87589	215200	158132	18961	187524	23495	15972	15894	2869	9970	543	2	1443	22682
MI20	343962	43985	76295	74015	20669	31915	10975	1282	6696	910	489	1112	0	410	8681
MI24	786471	242697	250074	103295	10809	111910	43159	578	35771	4399	4960	8495	0	13288	16439
MI23	359262	59565	159517	64301	2017	75531	34823	1675	10132	342	18680	2414	4	8	15937
MI26	404232	75833	176403	129921	24618	72056	46198	4444	18056	1601	1171	2374	0	18	13862
MI19	216860	104747	98054	39559	16916	38469	14156	1906	8309	421	9576	980	26	0	11210
MI18	560855	88733	170051	100942	35402	139883	11797	4336	12550	2838	2835	6129	0	3540	20783
MI15	434717	175715	280833	4369	397	4784	297	399	15	1	59	140	0	8	28
MI25	438624	107685	174455	94275	9782	231416	44175	3392	22970	4118	9146	2300	0	23	11595
MI22	486658	71724	146385	106970	18402	57671	12208	946	12055	413	5558	12813	0	3936	8157
MI14	726208	184980	278859	199359	30046	1902428	21840	11591	20704	2135	2231	1613	1	538	22771
MI16	547065	143831	166550	155360	11706	338068	16638	6968	27887	1745	2270	3861	101	461	20880
MI1	328781	81958	135197	90538	34592	50049	19242	3760	10227	4320	2949	3838	0	45	20435
MI2	647028	96744	199742	116290	78929	45587	37432	10093	10827	1412	3925	6244	18	93	22564
MI3	977481	68049	134470	73237	47919	70540	326382	15844	13933	2105	1333	1749	2	61	6558
MI4	341445	51503	139833	55272	180350	22311	7534	4759	5468	2283	1030	1835	160	40	9271
MI5	477587	79808	252210	89646	24462	75741	27054	4389	48785	1910	2964	4023	42	659	13228
MI6	447220	53983	237199	76366	109821	8551	37475	9413	7252	1836	1092	329	5	435	3648
MI7	369174	45470	142176	34240	60715	240946	2128	187721	3267	130	2320	857	0	0	4842
MI8	463739	90204	178985	114447	65140	49326	14647	5928	33908	1379	3010	6337	10	3017	15046
MI9	616939	51690	185332	60517	29057	236808	9249	1965	9641	3411	2680	2397	12	1067	6847
MI10	381498	109650	130534	90780	894	8886	5319	119	3382	344	37	7280	65	5415	11766
MI11	393988	75762	143796	136300	35946	231952	17495	4937	19717	2263	4262	3864	535	1516	14305
MI12	347442	177897	128324	68019	14738	217457	11388	3446040	12400	177	754	4529	12	8409	5407
MI13	384497	92928	142896	48824	29065	49879	5164	770	5931	1060	2904	1141	110	627	5745
CON1	326109	50280	132781	72738	40335	52156	48197	2568	16862	566	5892	1499	12	174	8110
CON2	345708	24997	69988	25836	35834	22370	7777	541	2802	83	228	557	0	1328	3873
CON3	343161	45092	146372	81902	54544	59387	16367	1736	14842	1716	540	2801	0	47	12534
CON4	295138	46771	110937	71992	47312	83704	11926	4964	6517	454	1042	2041	0	70	11304
CON5	293160	93888	101598	79041	26020	166194	8834	2436	11774	1073	4326	2583	3282	5033	7676
CON6	324498	70386	121964	120558	652	213734	5932	332	4942	281	296	138	680	0	5891
CON7	457726	17654	189856	10502	2005	10292	75160	160	177	93	2	1935	312	0	378
CON8	363576	68596	162190	93221	25246	35454	24300	1596	9041	2946	660	1035	0	2049	14522
CON9	276396	98242	127292	11070	318	10710	476390	155	103	48	8	10	5	16	6868
CON10	510450	46767	148547	97795	60602	116109	8968	1925	13652	689	1571	3799	0	372	8549
CON11	331627	41809	135689	68360	79979	24165	17731	1883	7977	1689	1883	1137	0	152	3126
CON12	93740	67508	71963	48672	143	5073	14855	11529	172	3	2	483	0	6	249
CON13	346477	45323	114480	72334	23000	34625	13748	1743	13528	705	1305	2538	0	1812	8058
CON14	239407	59748	79867	11905	239088	9745	7114	363	3984	165	58	591	28	0	7253
CON15	526175	83025	162890	110107	26447	33194	10037	10108	9428	1343	6196	9001	0	1614	9470
CON16	409586	119102	110487	131806	13663	133241	4156	5788	15732	1167	202	6494	0	38	14026
CON17	402287	47606	82747	54967	4507	39875	9156	2792	8372	1145	11758	296	0	2	5159
CON18	474803	57268	142877	91156	8421	130862	27337	1344	12135	876	2476	1209	4	1101	11772
CON19	380178	52932	114951	59550	3389	25948	130799	1006	5655	739	2987	2581	373	164	6606
CON20	341549	94119	196319	77227	54980	244642	14707	14849	16119	709	976	344	4	0	9899
CON21	269548	56189	133061	72371	22346	25014	18054	2361	7618	1306	2309	2070	0	465	10646
CON22	210145	63155	188290	64916	37138	39793	11633	1537	9607	1178	674	3663	2	81	8185
CON23	424471	91084	190826	148319	11321	51119	9244	1190	21010	1345	220	31574	0	8	6481
CON24	281994	59090	98493	68438	18788	84729	13189	3495	8312	3348	1249	1280	0	506	8513
CON25	223492	73395	118738	33953	42096	7136	960	131	587	24	35	607	0	0	6135
CON26	501271	43476	257528	70312	6750	18338	731	831	8463	909	0	12270	79	0	57795
CON27	426865	56066	107969	144466	22390	30086	10718	3381	6900	1208	1458	2231	4	939	9024
CON28	912376	61891	277339	136789	5674	96719	137634	1798	12432	464	5936	4662	0	11	13064
CON29	449398	71584	152095	71658	26819	83302	27315	2085	16818	3444	3932	2612	0	296	10448
CON30	486910	123568	217229	102264	34723	47832	12470	5604	15405	3963	7231	2879	63	148	8928
CON31	288566	71857	176382	125730	5398	92660	5864	6453	6112	904	101	2482	6	17	18734
CON32	388174	136939	157200	94835	22621	25716	10306	1446	7206	1408	3069	837	15	139	6286
CON33	389855	62819	129134	96131	66790	69009	5727	2687	11267	1161	13463	3947	0	308	7326
CON34	367284	73087	154318	87464	13349	29138	13796	4141	5172	724	362	1881	34	45	15863
CON35	334593	71589	141562	165812	21539	63336	26385	4675	8846	5438	4135	1348	0	18	15323
CON36	297974	59860	128824	62732	11463	71230	10237	1690	11797	1485	990	1788	4	283	12749
CON37	419328	71724	169988	69868	39911	119560	24264	5222	14827	958	7156	1567	0	125	21166
CON38	281510	106777	104212	73252	40079	323489	24427	1043	7810	5478	2024	3357	2	7107	5357
CON39	342966	69876	97206	81283	63644	26095	6204	1881	12416	2429	2454	13980	16	629	8271
CON40	441534	58895	125026	86702	20713	46446	30776	2138	12131	553	2938	927	2	6	11640
CON41	461753	49047	180602	143669	11069	98184	41863	936	234343	11430	1378	1149	4	70	19446
CON42	655948	64401	253207	82097	6420	67291	40845	1233	22072	2508	1425	4028	4	4	9496
CON43	339893	66294	101938	55354	18243	33684	14547	1000	10087	917	635	4551	0	7474	11485
CON44	286205	57974	214129	70921	17986	37051	7326	1156	22783	1580	1023	1932	2	46	9755
CON45	414207	112242	213475	119874	6370	34310	6893	2684	40546	1101	117	2139	0	0	22849
CON46	364977	49579	154199	94560	7428	49695	18447	1939	13740	2706	4161	2188	64	411	12944
CON47	505361	242065	95350	44963	14938	33656	7967	1333	7070	1320	1947	1392	743	81	6845
