SampleID,Observed,Richness,Number,Shannon,Simpson,InvSimpson,Chao1,ACE,Data_Type,Conversion_Factor,Singletons_Present,Reliability_Note,Group,SampleID
MI35,14998,14998,14998,8.282940259,0.99932444,1.000676017,14998,14998,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI35
MI33,15411,15411,15411,8.364184965,0.999512508,1.00048773,15411,15411,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI33
MI32,12649,12649,12649,8.177875723,0.999401167,1.000599192,12649,12649,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI32
MI38,13330,13330,13330,8.136440523,0.999345644,1.000654784,13330,13330,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI38
MI36,12026,12026,12026,7.862948191,0.999091209,1.000909618,12026,12026,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI36
MI34,9488,9488,9488,7.447658982,0.998734881,1.001266721,9488,9488,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI34
MI37,13062,13062,13062,7.821521599,0.9990844,1.000916439,13062,13062,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI37
MI27,13784,13784,13784,7.816301047,0.997983584,1.002020491,13784,13784,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI27
MI28,12565,12565,12565,8.035685164,0.999294432,1.000706067,12565,12565,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI28
MI29,12193,12193,12193,7.877625065,0.999106722,1.000894077,12193,12193,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI29
MI31,12151,12151,12151,7.929447303,0.999234568,1.000766018,12151,12151,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI31
MI17,7116,7116,7116,7.016173201,0.998075456,1.001928255,7116,7116,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI17
MI21,15077,15077,15077,8.041636308,0.999231552,1.000769039,15077,15077,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI21
MI20,11528,11528,11528,5.924547936,0.945942935,1.057146223,11528,11528,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI20
MI24,14773,14773,14773,7.983371053,0.999040386,1.000960535,14773,14773,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI24
MI23,9537,9537,9537,7.189580846,0.9983246,1.001678211,9537,9537,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI23
MI26,13280,13280,13280,7.825762459,0.999038141,1.000962785,13280,13280,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI26
MI19,10865,10865,10865,7.684570236,0.999014276,1.000986697,10865,10865,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI19
MI18,14465,14465,14465,7.948845477,0.998404465,1.001598085,14465,14465,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI18
MI15,5031,5031,5031,4.259866676,0.959271403,1.042457845,5031,5031,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI15
MI25,13615,13615,13615,7.871276336,0.999077085,1.000923767,13615,13615,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI25
MI22,13934,13934,13934,7.982778932,0.999078805,1.000922045,13934,13934,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI22
MI14,14535,14535,14535,8.045987739,0.998713058,1.0012886,14535,14535,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI14
MI16,14685,14685,14685,8.109151764,0.999294742,1.000705756,14685,14685,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI16
MI1,13941,13941,13941,8.262915833,0.999422325,1.000578009,13941,13941,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI1
MI2,14638,14638,14638,8.209112073,0.999400678,1.000599682,14638,14638,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI2
MI3,14575,14575,14575,7.977339629,0.997140164,1.002868038,14575,14575,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI3
MI4,12942,12942,12942,7.695281328,0.998530376,1.001471787,12942,12942,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI4
MI5,16377,16377,16377,8.554099939,0.999572004,1.000428179,16377,16377,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI5
MI6,13678,13678,13678,7.820566824,0.999013044,1.000987931,13678,13678,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI6
MI7,10609,10609,10609,7.446424903,0.998525419,1.001476759,10609,10609,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI7
MI8,16024,16024,16024,8.408416368,0.999452712,1.000547588,16024,16024,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI8
MI9,13609,13609,13609,7.781081659,0.998520261,1.001481932,13609,13609,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI9
MI10,8148,8148,8148,7.35284697,0.998534529,1.001467621,8148,8148,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI10
MI11,15703,15703,15703,8.417811798,0.999474781,1.000525495,15703,15703,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI11
MI12,13816,13816,13816,6.53957511,0.976064079,1.024522899,13816,13816,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI12
MI13,14608,14608,14608,7.58170404,0.997171488,1.002836535,14608,14608,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI13
CON1,15420,15420,15420,8.216055141,0.999304426,1.000696058,15420,15420,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON1
CON2,12788,12788,12788,6.92428645,0.99526168,1.004760879,12788,12788,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON2
CON3,12765,12765,12765,7.995853611,0.99930975,1.000690727,12765,12765,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON3
CON4,14271,14271,14271,8.330193178,0.999470596,1.000529685,14271,14271,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON4
CON5,15073,15073,15073,8.231127862,0.999334899,1.000665544,15073,15073,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON5
CON6,7435,7435,7435,6.963946749,0.997839267,1.002165412,7435,7435,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON6
CON7,6431,6431,6431,5.538155373,0.986854997,1.013320095,6431,6431,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON7
CON8,16185,16185,16185,8.319382606,0.999297519,1.000702975,16185,16185,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON8
CON9,8182,8182,8182,5.078670401,0.985840585,1.014362783,8182,8182,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON9
CON10,14443,14443,14443,8.17494721,0.999272504,1.000728025,14443,14443,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON10
CON11,13203,13203,13203,7.974979914,0.999182093,1.000818577,13203,13203,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON11
CON12,6349,6349,6349,5.329890315,0.987716136,1.012436633,6349,6349,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON12
CON13,15339,15339,15339,8.190079454,0.99937927,1.000621115,15339,15339,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON13
CON14,9972,9972,9972,7.196579406,0.998325438,1.00167737,9972,9972,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON14
CON15,12859,12859,12859,8.075100181,0.99935655,1.000643864,12859,12859,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON15
CON16,13161,13161,13161,7.626919495,0.998588317,1.001413679,13161,13161,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON16
CON17,11093,11093,11093,7.670380005,0.998945666,1.001055447,11093,11093,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON17
CON18,15311,15311,15311,8.137996047,0.999285896,1.000714615,15311,15311,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON18
CON19,11449,11449,11449,7.474315502,0.998264501,1.001738516,11449,11449,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON19
CON20,9596,9596,9596,7.328470843,0.998432733,1.001569727,9596,9596,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON20
CON21,15795,15795,15795,8.307920122,0.999244893,1.000755678,15795,15795,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON21
CON22,13203,13203,13203,8.129949523,0.999386659,1.000613717,13203,13203,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON22
CON23,10189,10189,10189,7.276502618,0.997761066,1.002243958,10189,10189,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON23
CON24,14892,14892,14892,8.128079433,0.999232053,1.000768537,14892,14892,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON24
CON25,5700,5700,5700,6.364958365,0.995569118,1.004450602,5700,5700,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON25
CON26,7211,7211,7211,6.64315637,0.996815645,1.003194528,7211,7211,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON26
CON27,15275,15275,15275,8.245775309,0.99929207,1.000708431,15275,15275,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON27
CON28,12086,12086,12086,7.506654015,0.998420104,1.001582397,12086,12086,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON28
CON29,13949,13949,13949,8.132231652,0.99941768,1.000582659,13949,13949,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON29
CON30,14607,14607,14607,8.15767693,0.999388817,1.000611557,14607,14607,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON30
CON31,12521,12521,12521,7.692402059,0.998309119,1.001693745,12521,12521,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON31
CON32,13494,13494,13494,7.753776722,0.998790796,1.001210668,13494,13494,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON32
CON33,15921,15921,15921,8.261048619,0.999350327,1.000650095,15921,15921,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON33
CON34,12571,12571,12571,7.567043842,0.995381777,1.00463965,12571,12571,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON34
CON35,12466,12466,12466,7.882323688,0.999123556,1.000877213,12466,12466,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON35
CON36,14758,14758,14758,7.825912972,0.998886635,1.001114606,14758,14758,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON36
CON37,14543,14543,14543,8.291668218,0.999509237,1.000491004,14543,14543,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON37
CON38,14387,14387,14387,8.249878063,0.999411986,1.000588359,14387,14387,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON38
CON39,12464,12464,12464,7.898864173,0.998964512,1.001036561,12464,12464,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON39
CON40,12658,12658,12658,7.646764784,0.998779874,1.001221616,12658,12658,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON40
CON41,12925,12925,12925,7.737959564,0.998916934,1.00108424,12925,12925,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON41
CON42,12756,12756,12756,7.66572919,0.998790292,1.001211173,12756,12756,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON42
CON43,14732,14732,14732,7.921011018,0.999059753,1.000941132,14732,14732,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON43
CON44,11468,11468,11468,7.829553965,0.999225341,1.000775259,11468,11468,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON44
CON45,9182,9182,9182,6.985196214,0.997870378,1.002134167,9182,9182,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON45
CON46,14460,14460,14460,8.079361332,0.999209736,1.000790889,14460,14460,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON46
CON47,15522,15522,15522,8.083321284,0.998883359,1.001117889,15522,15522,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,Control,CON47
