feature	AMARA.1	ANME.1	ARS49	Acidilobaceae	Altiarchaeaceae	Archaeoglobaceae	B24	Bilamarchaeaceae	CABMGC01	CG.Epi1	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.2686295	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	Haladaptataceae	Haloarculaceae	Halobacteriaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Ignisphaeraceae	JABGXB01	JABLTI01	JABXJV01	JdFR.42	JdFR.43	Kariarchaeaceae	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanomassiliicoccaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Poseidoniaceae	RDOG01	S146.22	SOKP01	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermococcaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583
CON1	0	6.19042489838418e-06	0	1.29998922866068e-05	0	6.19042489838418e-06	0	0	0	0	1.54760622459604e-05	0	0	0	0.0001095705207014	0	0	0	1.05237223272531e-05	1.23808497967684e-05	0	0	8.9142118536732e-05	0	5.44757391057807e-05	0	0.00033799719945177	0	6.0666164004165e-05	0	0	0	2.59997845732135e-05	3.15711669817593e-05	0	6.80946738822259e-06	0	0.422327500714994	0	7.42850987806101e-06	0	3.59044644106282e-05	0	0	0.00136127443515468	0.000703232268456423	0	0	5.44757391057808e-05	0.000323140179695652	0	0	8.97611610265705e-05	7.67612687399638e-05	3.09521244919209e-05	6.49994614330338e-05	3.83806343699818e-05	2.59997845732135e-05	0	0.000275473907978091	0	0	0	9.28563734757626e-06	3.28092519614361e-05	0	0	0	0	9.28563734757626e-05	0	0	0	0
CON2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01723492659167e-05	1.2291588696316e-05	0	0	0	4.66232674687847e-06	0	7.20541406335763e-06	0	0	0.00071291214438632	4.32324843801459e-05	0	0.000357727615851393	0	0	0	0	0	0	0	0	0	0	0.425233868667342	0	1.69539154431944e-05	0	0	0	0	4.95902026713438e-05	3.43316787724686e-05	0	0	2.79739604812708e-05	6.61202702284581e-05	0	0	5.08617463295833e-06	1.14438929241562e-05	9.32465349375694e-06	0	0	0	2.79739604812708e-05	7.75641631526145e-05	2.54308731647916e-05	0	3.30601351142292e-05	0	1.44108281267153e-05	0	0	1.78016112153541e-05	3.05170477977501e-05	7.71403152665347e-05	0	0	0	0
CON4	0.00174554687190066	0.00154718927282104	0.00190423295116436	0	0	0	0	0	0	0	0.00182488991153251	0.00047605823779109	0	0.00119014559447772	0.00357043678343315	0	0	0	0	0.00075375887650255	0.00051572975760701	0.00214226207005989	0	0	0.00051572975760701	0.00111080255484588	0.00440353869956757	0	0.00499861149680644	0	0	0	0.00119014559447772	0	0.00051572975760701	0.00309437854564209	0	0.113420875153727	0	0.00107113103502995	0	0.00111080255484586	0	0	0.0403459356527949	0.103106280001587	0	0.00380846590232872	0.00111080255484586	0.0039274804617765	0	0	0.00043638671797516	0.0013091601539255	0.00265799182766692	0.00539532669496568	0.00103145951521402	0	0	0.00789463244336889	0.00368945134288095	0	0.00047605823779109	0	0.00301503550601024	0	0	0	0	0.00531598365533384	0	0	0	0
CON5	0	4.16937676156168e-06	0	0	0	0	0	0	0	1.34702941527377e-05	5.45226191896528e-06	1.31495728633868e-05	0	0	7.50487817081103e-05	2.08468838078084e-05	0	0	0	0	3.84865547221078e-06	0	3.33550140924934e-05	0	0	0	1.18666877059832e-05	1.66775070462467e-05	1.09045238379306e-05	0	1.15459664166323e-05	1.15459664166324e-05	0	0	3.84865547221078e-06	6.83136346317414e-05	1.98847199397557e-05	0.425544552677188	0	6.15784875553725e-05	0	6.9275798499794e-05	0	1.73189496249485e-05	0.000179924643325854	0.000255935588902017	3.84865547221078e-06	8.98019610182516e-06	0	0.000118025434481131	0	0	0	6.41442578701797e-06	9.26884526224096e-05	1.18666877059832e-05	2.30919328332648e-05	0	1.44324580207904e-05	0.000425597150968638	0	0	0	1.34702941527377e-05	2.14883263865102e-05	2.05261625184576e-05	2.69405883054755e-05	2.27712115439138e-05	0	3.1430686356388e-05	0	0	0	7.69731094442156e-06
CON3	0	0	0.00029244963845196	0	0	0.00022937226545252	0	0	0	0	0	6.88116796357568e-05	6.30773729994438e-05	0	0.00028671533181565	0	9.74832128173222e-05	0	0	0	7.45459862720699e-05	0	0	0	0.00010895182608994	0.00053902482381342	0.00043580730435979	0	0	0	0	0.00089455183526484	0	0.00070531971626649	0	0	0	0.38131418839491	0	0.00014909197254414	0	0.000172029199089392	0.00069958540963018	0.00022363795881621	0.0069270424166662	0.00760369059975112	0	0	0.0004014014645419	0.00086014599544695	0.00034405839817878	0.00107804964762684	0	0.00019496642563464	0.00197260148289168	0	0.000137623359271514	0	0.00044727591763242	0.0023338628009794	0.000177763505725701	0.00033258978490615	0.00041287007781454	0	0.00020643503890727	7.45459862720699e-05	0.000258043798634088	0	0	0.000544759130449733	0	0	0	0
CON6	0	0	0	0	0.00238785604639264	0.0106600716356814	0	0.0005116834385127	0	0	0.00140712945590994	0.00055432372505543	0	0	0.00315538120416169	0	0.00085280573085451	0	0	0	0.00396554664847348	0	0	0.00170561146170902	0.0124936039570186	0.00204673375405082	0.0343254306668941	0.00289953948490534	0.00281425891181988	0	0.00307010063107623	0.00110864745011086	0	0	0	0	0	0.043194610267781	0.00127920859628176	0	0	0	0	0	0	0.00243049633293535	0.00136448916936722	0.00204673375405082	0.00204673375405082	0.02268463244073	0	0.00818693501620331	0	0	0.00422138836772983	0.00072488487122633	0.00332594235033259	0	0	0.0315964523281596	0	0	0.00648132355449428	0	0.00213201432713628	0.00328330206378987	0	0.00912502132014328	0	0.00430666894081528	0	0.00409346750810166	0	0
CON24	0	0	0	4.47119518486672e-05	0.000103181427343078	0	0	0	0	0	9.63026655202064e-05	0	4.12725709372313e-05	0.000178847807394669	0.00113843508168529	0.00090799656061908	0	0	5.8469475494411e-05	0	9.97420464316423e-05	0	0.00049527085124676	0	0	7.56663800515908e-05	0	0	0.00022699914015476	0	0	6.87876182287188e-05	0.000103181427343078	0	0	0	0	0.39295958727429	0	0.000103181427343078	0	0	0	0	0.00808942390369733	0.000440240756663793	0	0.000165090283748925	7.22269991401548e-05	0.00016509028374892	0	7.56663800515908e-05	0	0.000233877901977637	0.00268271711092003	0.00023731728288908	0	0.000103181427343078	0	0.00210146173688735	6.87876182287188e-05	0	0.00015477214101461	0.00041960447119518	6.19088564058469e-05	0.00015133276010318	0.000175408426483233	0.00067411865864144	0	0.00062940670679276	0	0.000113499570077386	0	0
CON25	0.00080761853484536	0	0	0.00037015849513746	0	0	0	0.00074031699027492	0	0	0.00124507857455329	0	0.00043746003970791	0	0.00864824847730255	0	0	0.00373523572365986	0.00151428475283508	0	0.0015479355251203	0	0	0	0.00323047413938151	0.00881650233872868	0.0192818925194333	0	0.00228825251539522	0.0010095231685567	0.0050476158427836	0.00531682202106538	0	0	0	0.00225460174310999	0	0.0747720160177677	0.00215364942625434	0.0010095231685567	0	0.0128545950129555	0.00134603089140894	0	0	0	0	0	0	0.0243631591345021	0.00080761853484536	0.0078742807147424	0.00033650772285223	0.00107682471312716	0.00747047144731971	0.00087492007941582	0.00649459905104821	0	0	0.0131574519635226	0.00498031429821313	0	0	0.00040380926742268	0.0094222162398627	0	0	0.00380253726823031	0	0.00195174479254298	0	0.00111047548541238	0.00074031699027492	0
CON26	0	0	0.00030386926868796	0	0.00087784455398744	0	0.00217772975893038	0.00197515024647174	0	0.00037139577284084	0	0	0.00104666081436964	0	0.00082719967587278	0	0.00069214666756702	0.00467621041258694	0	0	0	0.00156999122155446	0.00248159902761834	0	0.00476061854277804	0	0.00871091903572152	0	0	0	0.0070902829360524	0	0	0	0.00020257951245864	0.00043892227699372	0	0.132267540009454	0.0053177122020393	0.00064150178945236	0	0	0	0.0037983658585995	0	0.00091160780606388	0.00028698764264974	0	0.00021946113849686	0.0171517320548315	0.0004220406509555	0.00874468228779796	0.00060773853737592	0.00138429333513404	0.00526706732392464	0.00199203187250996	0	0	0	0.0143156188804106	0.0162401242487676	0	0.0018569788642042	0.00032075089472618	0.0127456276588561	0.00048956715510838	0	0.00145181983928692	0	0.00273482341819164	0	0.00055709365926126	0	0
CON27	0	0	0.00033212936438742	0.00026985510856478	0	0	0	0	0	0.00053971021712956	0.00151534022501764	0	0.00022833893801635	0.00095487192261385	0.00398555237264914	0.00037364553493585	0	0.00026985510856478	0.00124548511645285	0	0.00031137127911321	0	0.00124548511645284	0	0.00178519533358242	0	0.00467056918669822	0	0.000871839581517	0	0.00448374641923029	0.00157761448084028	0.00041516170548428	0	0.00033212936438742	0.00099638809316226	0.00568771536513472	0.132581890646407	0.00120396894590442	0.00211732469796986	0	0.00207580852742144	0	0.00255324448872834	0.0429692365176237	0.0394818781915557	0.00074729106987171	0	0	0.00635197409390957	0	0	0.00022833893801635	0	0.00315522896168057	0.00655955494665172	0.00215884086851828	0	0.00120396894590443	0.00543861834184413	0.00062274255822642	0	0.00112093660480756	0	0.00572923153568315	0	0	0.00373645534935858	0	0.010171461784365	0	0	0.00022833893801635	0
CON28	0	0.0005584363781412	0	0	0.0005584363781412	0	0.00101715197447148	0	0.00029916234543278	0.00047865975269246	0.00259274032708416	0	0.00021938571998404	0	0.00293179098524132	0.00019944156362185	0.00023932987634623	0	0.00021938571998404	0	0.00045871559633027	0.00089748703629836	0.00101715197447148	0	0.00358994814519346	0	0.0032309533306741	0.00095731950538492	0	0	0	0.00099720781810928	0	0	0	0	0	0.140706023135221	0.00063821300358994	0.003111288392501	0.00159553250897487	0.0028320702034304	0	0.00420821699242123	0.0418827283605904	0.0060630235341045	0.00702034303948943	0.00135620263262864	0.00456721180694058	0.0102712405265257	0	0	0	0.00303151176705225	0.00103709613083367	0.00167530913442361	0.00717989629038692	0.00071798962903869	0	0.0209014758675708	0.00119664938173114	0.00047865975269246	0.00089748703629836	0.00031910650179497	0.00175508575987236	0.0004188272836059	0.00113681691264459	0.0003988831272437	0	0.0113083366573594	0.00261268448344635	0	0.00077782209812524	0
CON29	0	0	0.00133864735769266	0	0	0	0	0	0	0	0.00142991876844443	0	0	0	0.00641942255620796	0	0	0.00480696096625999	0.0013994949648605	0	0.00060847607167848	0	0	0	0.00413763728741367	0.00736256046730962	0.0140557972557729	0	0.0010344093218534	0.00225136146521038	0	0.00285983753688886	0	0	0	0	0	0.135081687912623	0.00066932367884632	0.00066932367884632	0	0	0	0.00830569837841127	0.029663208494326	0.0264687091180139	0.00054762846451063	0	0.00380297544799051	0.017615382275092	0	0	0.00094313791110164	0.00179500441145152	0.00398551826949402	0.00620645593112051	0.00060847607167848	0	0.00310322796556026	0.014025373452189	0.00094313791110164	0	0.00136907116127658	0	0.00073017128601416	0.00136907116127658	0.00428975630533329	0	0.00209924244729075	0.00678450819921505	0	0	0	0.0016428853935319
CON30	0	0	0	0.00107033639143731	0.00091743119266054	0.00061162079510703	0	0	0	0.00048055919615552	0	0	0	0	0.0103101791175186	0.00085190039318479	0	0	0.00069899519440802	0.00069899519440803	0	0.00301441677588468	0.00262123197903012	0.00052424639580602	0	0.00270860637833114	0	0.00091743119266054	0.00214067278287462	0.00415028396679772	0	0.00231542158147662	0.00048055919615552	0.00078636959370903	0.00194408038444736	0.00181301878549585	0.00777632153778942	0.0781564001747487	0.00065530799475752	0	0	0	0	0.00373525557011796	0.0420707732634339	0.0100262123197903	0	0.00061162079510703	0.00238095238095238	0.00731760594145915	0	0	0.00048055919615552	0.00039318479685452	0.00777632153778942	0.00701179554390563	0	0.00098296199213628	0.00242463958060287	0.0418523372651812	0.00508955875928352	0	0.00069899519440802	0.00222804718217562	0.00415028396679773	0.00048055919615552	0	0.00279598077763216	0	0.00266491917868064	0.00074268239405854	0.00157273918741806	0.00058977719528178	0
CON31	0	0.00023108475033218	0	0	0	0	0.00167536443990831	0	0.00038514125055364	0.00157907912726992	0.00111690962660556	0.00082805368869032	0	0.00223381925321112	0.00608523175874752	0.00046216950066436	0	0.00113616668913324	0	0	0.00061622600088582	0.00023108475033218	0.00057771187583046	0	0.00483352269444819	0	0.00094359606385641	0	0.00408249725586858	0.00080879662616264	0.00092433900132873	0.00211827687804502	0.00144427968957614	0	0	0.0033122147547613	0.00038514125055364	0.145044194958501	0.00369735600531494	0.00327370062970594	0.00023108475033218	0.00392844075564714	0.00177164975254674	0.00130948025188236	0.00583488994588764	0	0.00092433900132873	0.00173313562749138	0.00150205087715919	0.0105528702651697	0.00038514125055364	0.00238787575343258	0.00025034181285986	0.00057771187583046	0.0115927516416646	0.00254193225365401	0.001270966126827	0	0.00115542375166092	0.036395848177319	0.00562306225808316	0.00023108475033218	0.00242638987848794	0	0.0017138785649637	0.0002118276878045	0	0	0	0.00371661306784263	0	0.0006354830634135	0.00053919775077509	0
CON32	0	0	0	0	0	0.00125518972675485	0	0	0	0	0.00122300537478677	0	0	0	0.0146438801454733	0	0.00032184351968073	0.00096553055904219	0.0007080557432976	0.0016735863023398	0	0	0.00135174278265906	0.00090116185510604	0.001319558430691	0	0.00408741269994528	0.00064368703936146	0.0015448488944675	0	0	0	0.00135174278265906	0	0	0	0	0.234141160567732	0	0	0	0	0.00115863667085061	0.00354027871648803	0.0258762189823308	0.0107173892053684	0	0	0.00875414373531589	0.00102989926297833	0	0	0	0	0.00173795500627594	0.00170577065430786	0	0	0.00762769141643334	0.0103633613337195	0	0	0	0.00144829583856329	0.00177013935824402	0.0003540278716488	0.00096553055904219	0	0	0.00128737407872292	0	0.0010620836149464	0	0.00090116185510604
CON33	0	0.00018179221150225	0.00041552505486229	0	0.00062328758229342	0.00012985157964446	0.00054537663450675	0	0.00051940631857786	0.00025970315928892	0.00049343600264897	0.00066224305618677	0	0	0.00097388684733349	0	0.0001947773694667	0	0.00215553622209814	0	0.00085702042565347	0	0.00136344158626689	0	0.00070119853008009	0	0.00144135253405356	0.00031164379114672	0.00031164379114672	0	0.00054537663450675	0.0057654101362143	0	0	0.00022074768539559	0	0	0.257911207489839	0.00059731726636454	0.00236329874952928	0.00025970315928893	0.00174001116723584	0	0.00175299632520027	0.0476035890976615	0.00245419485528039	0.00023373284336003	0.00025970315928892	0	0.00572645466232096	0.00025970315928892	0.00067522821415122	0.00020776252743114	0.00012985157964446	0.00344106686057835	0.00042851021282673	0.0011167235849424	0	0	0.0110373842697796	0.00390853254729843	0.0001947773694667	0.00135045642830244	0	0.00051940631857786	0	0	0.00044149537079118	0	0.00124657516458686	0	0	0	0
CON34	7.8003120124805e-05	0	0	0	0	0.00090441455496057	0.00145465278070581	0	3.58392714086942e-05	0	0.000122275161276721	0	2.31901167938609e-05	0	0.00111523379854112	2.10819243580554e-05	0	0	0.00081376228022092	4.42720411519163e-05	6.74621579457773e-05	0	6.32457730741662e-05	0.000122275161276721	6.53539655099717e-05	4.21638487161108e-05	9.48686596112493e-05	0	4.21638487161108e-05	5.4813003330944e-05	0	0.000105409621790277	0.00011805877640511	8.2219504996416e-05	0	0	0	0.393371842981827	0	5.4813003330944e-05	0	5.0596618459333e-05	0.000170763587300249	0	0.00149892482185773	0	0.00022768478306699	0.00020238647383732	0.000185520934350888	0.00039001560062402	0.00022768478306698	0	0	8.43276974322216e-05	0.000274065016654719	0.000189737319222499	0.000345743559472101	0	0.000246658514989248	0.00110469283636209	9.27604671754438e-05	0	0.000164439009992829	3.79474638444997e-05	0.00014968166294219	5.0596618459333e-05	0	0.0005354808786946	0	0.000301471518320183	2.10819243580554e-05	0.000170763587300249	0	0
CON35	0	0	0.0003875110717449	0	0	0.00096877767936226	0	0	0	0.0016054030115146	0.0003875110717449	0	0	0	0.0037643932683791	0.00033215234720992	0	0	0	0	0.00143932683790964	0	0.00207595217006199	0.00548051372896368	0.00268489813994685	0	0	0	0.0058126660761736	0	0	0.0028786536758193	0	0.00315544729849425	0.00027679362267493	0.00141164747564214	0	0.142936226749336	0	0.00035983170947741	0	0.00143932683790964	0.0011625332152347	0.00822077059344552	0.0721324180690877	0.00055358724534986	0	0.00974313551815766	0	0.00788861824623561	0	0	0.00102413640389725	0.00143932683790964	0.00260186005314437	0.00099645704162976	0.00357063773250664	0	0.00141164747564214	0.0184344552701506	0.0016054030115146	0	0.0029340124003543	0.00254650132860939	0	0.00077502214348981	0	0.00035983170947741	0.00141164747564214	0.00107949512843223	0	0	0	0
CON36	0.0011326014985189	0	0	0	0	0	0.00248301097752219	0	0	0	0.00461752918626938	0	0.00209095661265029	0	0.00653423941453215	0	0	0.0100627286983795	0	0	0.00492246035894755	0.0082331416623105	0.00940930475692628	0	0.00152465586339083	0	0	0	0.0015682174594877	0	0	0.00087123192193762	0.00169890224777835	0	0.00243944938142534	0	0.00235232618923158	0.135215194284719	0	0.0025265725736191	0	0	0	0	0.0152901202300052	0.0395539292559679	0	0.00121972469071266	0	0.00492246035894755	0	0	0	0	0.00383342045652553	0.00309287332287855	0.00095835511413138	0.00300575013068478	0	0.0119794389266422	0.0111082070047047	0	0.00853807283498867	0.00139397107510019	0	0	0.00383342045652552	0.00200383342045652	0	0.0050095835511413	0	0.00104547830632514	0	0
CON37	6.54013681966227e-05	0	6.21312997867915e-05	0	0	0	0.000107912257524428	0	0	0.000137342873212908	0	0	0	0	0.000660553818785884	0.0001373428732129	0	0	0	0	0.00014388301003257	6.86714366064538e-05	0.000186393899360375	0.00042510889327804	0	0	0.000775006213129973	0	0.00047088985101568	0	0	0	0	0	0	0	0	0.402041830715097	8.50217786556094e-05	0.000464349714196014	0	9.15619154752717e-05	0	0	0.00273704725902864	0.00173640632562033	0	0.000176583694130881	3.92408209179736e-05	0.0010202613438673	0.000130802736393245	0	0.00010464218911459	0.00010137212070476	0.000523210945572982	0.00072268511857267	0.00022890478868818	0	0	0.00145518044237484	0.00026487554119631	0	0.00068671436606453	3.92408209179736e-05	0.000287766020065133	0	0	0	0	0.000274685746425814	0	0	0	0
CON7	0	0	0	0	0	0	0	0.00229658792650919	0	0	0.00226377952755906	0	0	0	0	0	0	0	0	0	0	0	0	0.00485564304461942	0	0	0.0207677165354331	0.0013779527559055	0	0	0	0.0019028871391076	0	0	0	0.00305118110236221	0	0.118405511811024	0.0071522309711286	0	0	0	0	0	0.00393700787401574	0.00328083989501312	0	0.0020997375328084	0	0	0	0	0	0.0176181102362205	0.00167322834645669	0	0.00131233595800524	0	0	0	0	0	0.0106299212598425	0	0	0.00072178477690288	0	0	0	0.0047244094488189	0	0	0	0.00452755905511812
CON8	0.00025891772391403	0.00027883447190742	0	0.0003186679678942	0.00039833495986774	0.00029875121990081	0.00149375609950407	0.00081658666772889	0	0	0	0.0004780019518413	0	0.00075683642374872	0.00127467187157681	0	0	0	0.0024298432551933	0	0.00021908422792726	0	0.00089625365970243	0	0	0	0.00137425561154373	0.00043816845585452	0	0	0	0.00123483837559002	0	0	0	0	0	0.270349937262244	0.00153358959549083	0	0	0.00199167479933876	0.0006373359357884	0.001593339839471	0.0445537652612081	0.0108745444043897	0.00057758569180824	0.00083650341572228	0	0.00268876097910731	0	0.00043816845585452	0.00077675317174211	0	0.00183234081539164	0.00129458861957019	0.00117508813160985	0.00071700292776195	0	0.0170686530303332	0.00153358959549083	0	0	0.00025891772391403	0.00051783544782807	0	0.00161325658746438	0.00125475512358341	0	0.00280826146706764	0	0	0	0.00059750243980162
CON9	0	0	0	0.00070951118413682	0	0	0	0	0	0	0.0004107696329213	0.00024272751036259	0	0	0.00052279771462713	0	0	0	0.00274468800179245	0	0	0	0	0.0153105044997946	0.0269800963441503	0	0.0379961910452221	0.00056014040852906	0	0.00112028081705814	0	0	0	0	0	0	0	0.0184099480936555	0	0.00212853355241048	0	0.0010829381231562	0.00718846857612308	0	0	0.0140408529071287	0.0131259569065312	0	0	0.00769259494379923	0	0.00388364016580156	0.00026139885731356	0.00765525224989731	0.00171776391948914	0.00201650547070464	0.00067216849023488	0	0	0.00591881698345718	0	0	0.00194182008290078	0.00048545502072519	0	0	0.00076552522498973	0	0	0.00242727510362598	0	0	0	0
CON10	0.00312115766575238	0.00075664428260664	0	0	0	0	0.00212806204483116	0	0	0.00170244963586494	0.00335760900406696	0	0	0	0	0.00113496642390996	0	0	0.00312115766575238	0	0.00151328856521328	0	0	0	0	0	0.00118225669157287	0	0	0	0	0	0	0	0	0	0	0.19970680034049	0	0.00226993284781992	0.00052019294429206	0	0.00520192944292064	0.00316844793341529	0.0195781708124468	0.0363662158327816	0	0	0.00293199659510072	0.00567483211954979	0	0	0	0	0.00231722311548282	0	0	0.00156057883287618	0.00312115766575239	0.026104227749929	0.00605315426085311	0.00250638418613449	0	0.00066206374728081	0.00070935401494372	0.00061477347961789	0.00156057883287618	0	0	0.00132412749456162	0	0	0.00099309562092121	0
CON11	0	0	0.00067896344913432	0	0	0	0	0.00067896344913432	0.00107502546112934	0	0	0	0	0	0.00820414167703971	0	0	0.00147108747312436	0	0.00118818603598506	0.00260269322168156	0.00322507638338802	0	0.00186714948511938	0	0.00362113839538304	0	0	0	0	0	0.00407378069480592	0.00203689034740296	0	0	0	0	0.0914337444834219	0	0.00294217494624872	0	0	0	0.0022632114971144	0.0283467240013579	0.044472105918298	0.00237637207197013	0	0.0033948172456716	0.0049790652936517	0	0	0.00203689034740296	0	0.0189543962883332	0.0063935724793482	0	0	0.00373429897023876	0.0280072422767907	0.0130700463958357	0	0	0	0	0.00062238316170646	0.00441326241937308	0.00441326241937309	0.00220663120968654	0	0	0.0179925314020595	0	0
CON12	0	0	0	0	0	0	0	0	0	0.00426147172970094	0	0	0	0	0.00243512670268625	0	0.00631610988509246	0	0	0	0	0	0	0	0	0	0.00426147172970094	0	0	0	0	0.0079141617837303	0	0	0	0.00190244273647363	0.00213073586485046	0.0835552849859219	0	0.0150673464728712	0	0	0	0	0.0126322197701849	0	0	0	0	0.0165893006620501	0	0.00350049463511148	0	0	0.022144433452553	0	0.00776196636481242	0	0	0.0280039570808918	0	0	0.00098927022296628	0	0	0.00410927631078305	0	0.00563123049996196	0	0	0	0.00190244273647363	0	0
CON13	0	0	0	0	0	0	0	0.00017686146693953	0	0.00032845701003056	0	0.00017686146693953	0.00078324363930367	0.0005305844008186	0.00104853583971298	0	0	0.00303191086182066	0	0	0	0	0.00045478662927309	0	0	0.00025265923848505	0.00154122135475882	0.00042952070542458	0.00025265923848504	0.00035372293387906	0	0	0	0.00060638217236412	0	0	0.00032845701003056	0.263763612016473	0.00060638217236412	0.00012632961924252	0	0.00449733444503398	0.00121276434472824	0	0.018191465170924	0.0154880113191339	0	0.00156648727860734	0	0.00305717678566916	0.00065691402006114	0	0.00012632961924252	0.00020212739078804	0.00140225877359204	0	0.00085904141084918	0	0	0.00823669117461275	0.00087167437277343	0	0	0	0	0.00021476035271229	0	0.0005053184769701	0	0.00186967836478938	0	0	0.00012632961924252	0
