feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON1	0.00572798721193541	0.0292869512264742	0.00108470189727683	0.084492568840511	0.0378503872576072	0.0245485166225808	0.00388209100078012	0.0139869455175169	0.0160421701649889	0.0299149365354241	0.00616567394241563	0.00393918057432112	0.00736455498677421	0.0103332128109002	0.0296865782412605	0.0118746312965042	0.0613142019829113	0.00262612038288067	0.0161563493120705	0.00416753886848463	0.026946278711298	0.149688861824202	0.00171268720622649	0.393918057432112	0.00159850805914473	0.00405335972140288	0.00639403223657915	0.001998135073931	0.0132447810614854
CON2	0.00265552737580183	0.0685961509771744	0.00113382067730866	0.120065642249739	0.078293301506788	0.0311203938534984	0	0.0102938982545128	0.00584812770401309	0.135640757869611	0	0.00190959271967774	0	0.069879158585708	0.0231538117260927	0.0258988512606296	0.126361330747427	0	0.0225272266149485	0.00486349395792929	0.0523944502461585	0.090138743846039	0.00361032373564075	0.109324183201552	0.00125317022228848	0.00125317022228848	0.00146203192600326	0.00110398329106367	0.0112188572281068
CON3	0.0106243096828485	0.0397096723294589	0.00115710303476561	0.0774207121443227	0.0394992899595013	0.0319255246410351	0.00199863251459521	0.0128859201598905	0.0223005312154841	0.0436543417661599	0	0.00157786777468041	0.00131488981223367	0.0154105085993793	0.0279282596118444	0.0136748540472308	0.0814705727660023	0.00215641929206327	0.0191973912586125	0.00336611791931827	0.0437595329511389	0.102771787724188	0	0.370378162309999	0.00462841213906266	0.00194603692210592	0.00552253721138164	0.00352390469678633	0.0201967075159101
CON4	0.0131136285616203	0.0516477857878475	0	0.0662718846549949	0.0207518022657055	0.0240988671472709	0.00236869207003089	0.0262615859938208	0.0073120494335736	0.0315653964984553	0.0014933058702368	0.00391349124613793	0.00628218331616891	0.0102471678681771	0.0123755578441469	0.00669412976313079	0.0561277033985583	0.00375901132852722	0.0218331616889804	0.00756951596292478	0.0388259526261586	0.188516992790937	0.00175077239958798	0.353913491246138	0.00339855818743558	0.002832131822863	0.00875386199794027	0.00633367662203915	0.0219876416065911
CON5	0	0.044929544929545	0	0.0795218295218294	0.0408292908292909	0.0195772695772695	0.0137445137445137	0.0137445137445137	0.00577500577500575	0.0297990297990298	0	0	0.00508200508200498	0.0147262647262647	0.0107992607992608	0.0129360129360129	0.0627165627165628	0	0.0164010164010164	0.00600600600600593	0.0632940632940633	0.11994686994687	0.00750750750750744	0.406156156156157	0	0	0	0	0.0265072765072764
CON6	0.00704913965469429	0.0389672937433412	0	0.0728119207810973	0.0325311227542726	0.0487747923933509	0.00144485471183174	0.0116901881230023	0.00328376070870851	0.0161998861629621	0.00218917380580564	0.00271457551919899	0.00608590318013982	0.0313051854230214	0.0180241976678002	0.0461915673025001	0.0548169120973745	0.00175133904464453	0.0197025642522511	0.00341511113705682	0.0226360571520308	0.139319021001474	0.0022329572819218	0.381660561304164	0.00345889461317298	0.00201403990134116	0.0256571170040427	0.00197025642522509	0.0021016068535734
CON7	0	0.0638821467098166	0	0.220671521035599	0.0518473570658037	0.0698152642934195	0	0	0.025316882416397	0.0340480043149945	0	0	0	0.0516113807982741	0.0042812837108953	0.0244066882416397	0.163700107874865	0	0.00748381877022647	0	0.00701186623516718	0.150249460625674	0	0.101503505933117	0	0	0	0.0115291262135922	0.0126415857605178
CON8	0.0104487946119469	0.0293951029143324	0	0.0511109712343426	0.0261219865298672	0.0128406873544407	0.00522439730597345	0.0181909737521244	0.0120853528041795	0.0184427519355447	0	0.00402845093472651	0.00604267640208976	0.0182539182979795	0.00428022911814693	0.0132183546295713	0.0652734940517406	0	0.0113300182539183	0.00963051551583059	0.0324793856612325	0.13029520992006	0.00503556366840807	0.474664820293322	0.00383961729716113	0.0109523509787876	0.00579089821866934	0.00497261912255303	0.0160508591930509
CON9	0	0.0588205813564985	0	0.167858336117608	0.0650517875041765	0.0569996658870697	0.00365853658536583	0.042799866354828	0.0174908118944203	0.0362011359839626	0	0.00539592382225191	0.0121282993651854	0.0130638155696625	0.0479284998329436	0.0171566989642499	0.141780821917808	0	0	0	0	0.124841296358169	0	0.16580354159706	0	0	0.00731707317073166	0	0.0157033077180087
CON10	0.0174261770312556	0.020771139805057	0.001942236449304	0.0538431104557065	0.0533575513433802	0.0476387440204294	0.00253569758659135	0.0147286264072222	0.00685177858504476	0.0219580620796317	0.00280545264899472	0	0.00496349314822137	0.0177498831061396	0.0138114591950508	0.0153760385569902	0.0578354853792758	0.00231989353666869	0.0235226414415709	0.00339891378628197	0.0417580836600367	0.112883501780383	0.00188828543682328	0.414020069776643	0.00134877531201664	0.00841635794698416	0.00895586807179079	0.00361471783620473	0.0242779556163004
CON11	0.00882559422324734	0.0564637448600942	0	0.0920669942834221	0.0364557215926186	0.0312405977334269	0.00145421722996688	0.0257246013438972	0.0193561327850767	0.0725102798114533	0	0.00330959783371772	0.00280814361648782	0.0234680573663624	0.0190051148330157	0.0143917360345	0.094674556213018	0.00436265168990064	0.0177013338682177	0	0.0336977233978537	0.0828402366863902	0.0010029084344599	0.323889278908836	0.00255741650787282	0.00185538060375084	0.0032594524119947	0.00240698024270376	0.0246715474877144
CON12	0.00141086175435951	0.0781335239564326	0.00950920822438342	0.184738238115842	0.057534942342783	0.0661694162794636	0	0.00451475761395061	0.00347071991572451	0.0512142816832523	0	0	0.0116819353260972	0.0125002351436257	0.00474990123967718	0.00970672886999379	0.11010365131022	0	0.0143625726593803	0.00409149908764271	0.00747756729810562	0.236629733441185	0.00189055475084178	0.123817227562595	0	0	0	0	0.00629244342444365
CON13	0.0080150872230079	0.0471999580910471	0.00246215097700241	0.0919901513960923	0.0207973178270208	0.0260883231180261	0.00502907433600496	0.0098486039080098	0.00460998480800458	0.0556341348420557	0.00178113049400174	0.00759599769500758	0.00560532243700558	0.0212687935460213	0.0134108648960134	0.0174969877940175	0.0422232699460423	0.00261930955000258	0.0232594688040232	0.0025145371680025	0.0535910733930537	0.12054062549112	0.00419089528000416	0.372884907538373	0.00141442715700142	0.00314317146000307	0.00811985960500808	0.0064958876840065	0.0201686835350202
CON14	0.0103885098113703	0.0866585818442161	0	0.0856942476001228	0.0534767171724551	0.0387048698879326	0.00157800149033468	0.0321298636782045	0.00315600298066946	0.0341461989158545	0	0.00451483759734654	0.00333133647959554	0.0225303546120016	0.0270451922093481	0.0312093628088427	0.0657938954720124	0	0.0271766923335427	0.00363817010271617	0.0229686883593168	0.152131032568197	0.00113966774301949	0.268786253853685	0	0.00170950161452923	0.00127116786721405	0	0.0208208529974723
CON15	0.0100248550124274	0.0195360397680198	0	0.0454846727423362	0.0583098591549296	0.0225186412593206	0.00422535211267602	0.0225186412593205	0.0097928748964374	0.0349461474730737	0	0.00208782104391046	0.00402651201325595	0.0148135874067937	0.0251035625517813	0.00949461474730735	0.067307373653687	0.00382767191383595	0.0225683512841756	0.00412593206296601	0.0352941176470587	0.0941507870753933	0.00253521126760559	0.43526097763049	0.00134217067108528	0.00502071251035626	0.0145650372825186	0.00303231151615575	0.028086164043082
CON16	0.0081685470500222	0.0507501314246431	0	0.0847183468801813	0.0217558332322374	0.0342512839176674	0.0016175340693113	0.0228881070807554	0.00299243802822596	0.0578672813296132	0.00133446560718182	0.0018197258279752	0.00469084880100284	0.0247482712604634	0.0111609850782482	0.00837073880868616	0.0603340207853128	0	0.0269723806057665	0.00210279429010468	0.0539043228598003	0.11739253508027	0.00315419143515711	0.330017388491245	0.00173884912450963	0.00331594484208818	0.00367989000768324	0.00740021836709931	0.0528529257147481
CON17	0.00404384036458745	0.0582505576327486	0	0.0878572460163359	0.023733491663591	0.024937015581623	0.00601761959015997	0.0130943402281881	0.00813582168589629	0.0371648185888283	0.00471781375868536	0	0.0046696728019641	0.0206524704334291	0.0104626345940915	0.0106872923921242	0.076495980230114	0	0.0155976699776946	0.00279217548983416	0.0377425100694834	0.161657332670058	0.00250332974950654	0.3678450503073	0.00486223662884921	0.00524736428261944	0.00226262496590008	0.00105910104786816	0.00750998924851961
CON18	0.00819958129797619	0.0416085136078157	0	0.0763695045359385	0.0380757152826239	0.0281315422191207	0.00279134682484298	0.0131280530355896	0.0111653872993719	0.0310101186322401	0.00401256106071177	0.00706559665038373	0.0151779483600837	0.0105983949755756	0.018056524773203	0.0118632240055826	0.0669050942079554	0.00296580600139564	0.012473831123517	0.0037944870900209	0.0514218422889045	0.116146196789951	0.00471039776692249	0.375000000000001	0	0.00545184926727142	0.00471039776692249	0.0119068387997209	0.0272592463363572
CON19	0.00831889081455801	0.080632582322357	0	0.16369150779896	0.0330589254766032	0.0402946273830155	0	0.00346620450606585	0.00350953206239168	0.062738301559792	0	0	0	0.0282495667244367	0.013951473136915	0.0209705372616984	0.13838821490468	0	0.0463604852686308	0	0.0388214904679377	0.0585788561525131	0	0.241074523396881	0	0	0	0.00337954939341419	0.0145147313691507
CON20	0	0.0275412531563802	0	0.0361148628809677	0.0108050971871513	0.0180867931176228	0	0.06535909331141	0.0080450995360855	0.0285395501791062	0	0.00428680486229371	0.0043455282165717	0.00546127194785365	0.0259557225908743	0.0115097774384872	0.0349403957954078	0.00980680016442535	0.00657701567913547	0	0.014445945152387	0.200481531505079	0	0.465911092841624	0	0	0.00663573903341359	0	0.015150625403723
CON21	0	0.0399650075970348	0	0.180993600073668	0.0499562594962936	0.0482987246189972	0	0.00593949997697863	0.0127077673926055	0.0317694184815138	0	0	0.0257838758690547	0.0179566278373773	0.0104516782540632	0.0189695658179474	0.110272111975689	0	0.0114185735991527	0	0.0370643215617661	0.137253096367236	0	0.246650398268797	0	0	0.00497260463188907	0	0.00957686817993459
CON22	0	0.0295349226732176	0	0.06091228853777	0.0338339567863324	0.021830160236726	0	0.0602423091954666	0	0.0293674278376417	0.00820724694321916	0	0.015409524872983	0	0	0.0076489308246329	0.0570599073195244	0	0.0164144938864384	0	0.0474568700798393	0.135838311652058	0	0.431355033219809	0	0	0.00748143598905698	0	0.0374071799452851
CON23	0.0159414608650202	0.0378283026264209	0	0.0301842414739318	0.0162681301450411	0.0116294263687443	0.00437736835228007	0	0.0105840846726773	0.0128707696328237	0	0	0	0.00777472886449747	0.0351496145302496	0.00431203449627591	0.0358029530902914	0	0.0249575329935971	0	0.0190774859532209	0.198222919116686	0	0.514373448320921	0	0	0	0.0084934012805435	0.0121520972167777
CON24	0.0051244072291171	0.0476964057479364	0	0.0332907294814674	0.023364430163527	0.0142981712197044	0.0212143292282332	0.0280588172055854	0.00390601669911727	0.0214651743373508	0.00111088548323516	0.00322515140294084	0.00297430629382321	0.0124347504091164	0.0176666626849982	0.00541108735382297	0.0281663222523502	0.0015050706547057	0.0276287970185266	0.00272346118470558	0.0302805881720559	0.268714836890955	0.0106071646141166	0.364047923360847	0.00222177096647032	0.00422853183941135	0.00526774729147006	0.00379851165235255	0.00956794916205782
CON25	0.00194320654990148	0.0122810653953777	0.00342004352782659	0.0103378588454761	0.0149238263032437	0.0180329567830863	0	0.0518447507513732	0.00163229350191728	0.00264276090786603	0	0.0170224893771374	0.00598507617369661	0.016400663281169	0.0326458700383458	0.00357550005181877	0.00878329360555491	0.00155456523992113	0.0322572287283656	0.00264276090786603	0.0033423152658306	0.22333920613535	0	0.525443051093379	0.00202093481189749	0.00443051093377549	0	0	0.00349777178982275
CON26	0.0283131689621495	0.012108588626896	0	0.0241274840047039	0.0183572183133683	0.00789300591975443	0.00185366048115445	0.346335532478922	0.00517231069741485	0.00801259691853856	0.00116601223814553	0	0.00239181997568313	0.00941779115425244	0.00742460784118313	0.00460425345319006	0.0274162364712682	0.00107631898905735	0.0830260509059019	0.00176396723206627	0.00412588945805343	0.0953439237806699	0	0.304090012158418	0.0013155009866257	0	0.00134539873632173	0	0.0033186502162604
CON27	0.0122639704006124	0.0282278642510845	0	0.0469348047971422	0.0267447052819597	0.0133484307221229	0.00531066598622092	0.0556423832610361	0.00650676192906355	0.0237783873437102	0.00157884664455209	0.00330122480224544	0.0052628221485072	0.0086118907884664	0.023299948966573	0.0125829293187037	0.0367919112018374	0.00133962745598359	0.0182763460066343	0.00430594539423318	0.0399496044909416	0.195298545547334	0.00186590967083432	0.376722378157693	0.0011482521051288	0.00645891809134983	0.00904248532788976	0.00478438377137019	0.0306200561367696
CON28	0.00548749361919339	0.0626169814531225	0	0.116811298281436	0.0456653054279394	0.0362642504679258	0	0.011698145312234	0.0163986727922409	0.0545346265101244	0	0.00106346775565765	0.00646588395439845	0.044899608643866	0.0562149055640633	0.0151863195507912	0.11751318700017	0	0.0112302194997447	0	0.0258422664624808	0.124532074187511	0.00146758550280755	0.224157733537519	0.00316913391185973	0.00208439680108894	0.00578526459077756	0.00538114684362766	0.00553003232941972
CON29	0.0109932251054582	0.033917082108313	0.00191742298351013	0.108142656269973	0.0586305338957774	0.0325535813200391	0.00345136137031826	0.0135497890834717	0.016532447057821	0.0274404533640121	0.00119306318973962	0.00524095615492777	0.0034513613703183	0.0181516042438962	0.0317866121266351	0.0165750564574545	0.0976607439601177	0.00242873577911285	0.0194724956325364	0	0.0317013933273681	0.122459414546849	0	0.305850270569688	0.00728620733733856	0.00272700157654778	0.0103114747113213	0.00153393838680807	0.0150411180706463
CON30	0.0226370851370851	0.0435305435305435	0.00279581529581528	0.0457852332852331	0.0373977873977875	0.0205627705627705	0.00447931697931698	0.0302729677729677	0.00616281866281857	0.0211640211640211	0	0	0.00285594035594033	0.0251924001924002	0.0112133237133237	0.0136784511784511	0.0367364117364117	0	0.024110149110149	0.00841750841750837	0.0289502164502164	0.148268398268398	0.00847763347763342	0.422258297258299	0.00628306878306876	0	0.00625300625300624	0.00330687830687825	0.0192099567099567
CON31	0.0128474042999476	0.0161060753614502	0.0013484156116563	0.0198142182935051	0.0168177391564911	0.0128099483107349	0.00670462206906882	0.0747996104577124	0.00310884710465202	0.00816540564836312	0	0.00644243014458007	0.00101131170874221	0.0138587160086898	0.0225110495168177	0.0029590231478013	0.011873548580418	0	0.016143531350663	0.010375309011911	0.017866506854446	0.179526556296352	0.0117237246235673	0.514607835792944	0.00318375908307734	0.00277174320173792	0.00370814293205481	0.00340849501835337	0.00550603041426318
CON32	0.0384512796035545	0.0186149677817865	0.00395883930200885	0.0403043533193884	0.0284699507250851	0.0180253534176575	0.00299018713236835	0.0539918296295257	0.00425364648407334	0.0161722797018235	0.00193730433928095	0.0010949981048109	0.00357980149649734	0.0186991984052335	0.0126486319542908	0.0113290188536212	0.0302387938174721	0.00214788089789841	0.0300703325705782	0.0136032456866901	0.0265326463858043	0.16117529796583	0.0159195878314826	0.423764266561848	0.00838094703297625	0.0020215349627279	0.00155826653376944	0.00299018713236838	0.00707537236954776
CON33	0.0074524714828897	0.0256527249683143	0.00136882129277559	0.0436501901140684	0.0260076045627376	0.0132826362484156	0.0038022813688212	0.0728010139416985	0.00628643852978451	0.0187579214195184	0.00288973384030417	0.00522179974651456	0.00430925221799739	0.0101394169835234	0.0130291508238276	0.0125221799746515	0.0389860583016477	0	0.0221546261089987	0.00958174904942969	0.0340177439797212	0.185855513307985	0.00106463878326997	0.407046894803549	0.00167300380228135	0.0049176172370088	0.0045120405576679	0.00542458808618496	0.0175918884664131
CON34	0.00813465990864142	0.0420499342969777	0	0.0760903572992931	0.0324760653275764	0.026969526312496	0	0	0.00894812589950557	0.0265940804705587	0	0	0.0116388211000563	0.0166447656592202	0.0268443776985169	0.0123897127839308	0.0827232338401854	0	0.0374194355797509	0	0.0291596270571303	0.0885426443902132	0	0.457418184093612	0	0	0	0	0.0159564482823352
CON35	0.00931106138107407	0.0682544757033248	0	0.0746483375959082	0.0536684782608695	0.0308903452685422	0.00131873401534519	0.0176630434782608	0.0068334398976982	0.0159047314578005	0.00239769820971867	0.00135869565217387	0.00331681585677745	0.019900895140665	0.0122682225063938	0.0118686061381074	0.0864769820971867	0.00227781329923273	0.0245364450127877	0.00307704603580556	0.0444773017902815	0.105618606138107	0.00231777493606132	0.376078964194374	0.00371643222506386	0.0017183503836317	0.00247762148337594	0.00327685421994877	0.0143462276214834
CON36	0.0172166427546627	0.0383511753669571	0	0.0381856307250856	0.0172718243019534	0.0103189493433395	0	0	0.00965677077585247	0.0389581723871536	0	0	0	0.0246109700916013	0.0137953868226465	0	0.0440348747378877	0	0.0172718243019534	0	0.0493323032777838	0.187065445315086	0	0.477761836441895	0	0.00772541662068202	0	0	0.00844277673545956
CON37	0	0.0404195883929081	0	0.0887634684453568	0.0419018299982899	0.0365429565019098	0	0.0169887691693745	0.00934952397240751	0.0330083803659997	0	0	0.015677555441537	0.0166467134142865	0.017615871387036	0.0189270851148737	0.0774756285274499	0.00495980844877705	0.014594378883758	0	0.0423579043384071	0.116869049655093	0	0.377458525739696	0	0.00604298500655606	0	0	0.024399977196283
CON38	0.00990632066329269	0.0548077958436525	0	0.0872725314956393	0.0453321847744157	0.0355335415096371	0	0.014644126197911	0.0102831915580919	0.0461936039625284	0	0	0	0.0309034133735329	0.0185743512436739	0.0142672553031119	0.0730591148917842	0	0.0140519005060837	0.00651448261010011	0.045547539571444	0.116829977387746	0	0.336114999461613	0	0.00527619252718846	0.00463012813610423	0.00705286960267032	0.0232044793797782
CON39	0	0.0280614824552533	0	0.093841642228739	0.0643644453433107	0.0277581150773587	0	0.0181009202143796	0.0103650520780665	0.0861057740924259	0	0	0.00621903124683991	0.0336232177166549	0	0.018758216199818	0.133987258570129	0	0.0190615835777125	0	0.0255334209727981	0.0964202649408432	0.00632015370613807	0.303468500353929	0	0	0.00854484781069867	0	0.0194660734149054
CON40	0.00418515108395408	0.0771323344772747	0	0.107516531346782	0.0191261404536703	0.0352808236377334	0.00422700259479362	0.0133087804469741	0.00485477525738673	0.0269523729806647	0	0	0	0.0130158198710973	0.00435255712731226	0.00933288691721771	0.0901900058592116	0	0.0266594124047878	0	0.0572947183393322	0.103415083284506	0	0.357328199548004	0.0107139867749226	0.00443626014899135	0.0161128316732234	0	0.0145643257721603
CON41	0.0118872476902254	0.017830871535338	0	0.0759724592479254	0.0194786088389336	0.0391926087212381	0	0.0173012416877538	0.00806214323544987	0.0182428058612369	0	0	0	0.0164773730359559	0.011181074560113	0.00647325369269692	0.0641440593185429	0	0.016065438710057	0.0048255163891013	0.0278938386394398	0.126522685811805	0	0.497087035838288	0	0.00323662684634846	0.00511975519331487	0.00411934325898894	0.00888601188724768
CON42	0.00675114625076711	0.0372215603451388	0	0.0602909852341241	0.0418065634138417	0.0122748113650312	0	0.0166793025018953	0.00509043647785119	0.0332502978446875	0.0102169753420701	0.0129607567060182	0.0158489476154373	0.0110834326148958	0.0204339506841402	0.00628181522798656	0.0594967327340339	0	0.0107946135239539	0.00155240261381269	0.0393877035272031	0.134012058197047	0	0.408281887432759	0.00129968590923851	0.00119137875013537	0.00942272284197984	0.0035380338640384	0.0408317989819129
CON43	0.00504223044546754	0.0548713313183244	0	0.0502528177170138	0.0235586565351261	0.0194486031468037	0.0051693454987147	0.0208044970481059	0.00288127454026717	0.0530069772040339	0	0.00148300895454923	0.00411005338832236	0.0194486031468038	0.0202395412558967	0.00584729244936581	0.0275839665546171	0	0.0262280726533149	0.00199146916753758	0.0591084997598939	0.199146916753764	0.0012287788480551	0.375031778763312	0.00249992938052593	0.00745741645716223	0.0051693454987147	0.00118640716363937	0.00720318635066801
